key,title,item_type,canonical_key,canonical_title,canonical_type,human_tags,sources,action_needed
EYB6CT6R,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark qual",journalArticle,5YILFYU7,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark qual",journalArticle,s1:human:discard,,Review: superseded item has human decision tag — verify canonical is correct
S8GHSDJM,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification,conferencePaper,6ZW9QNQH,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification,conferencePaper,s1:human:keep,,Review: superseded item has human decision tag — verify canonical is correct
CKAHXH58,From hazard identification to controller design: proactive and LLM-supported safety engineering for ML-powered systems,conferencePaper,IQCNSPY6,From hazard identification to controller design: proactive and LLM-supported safety engineering for ML-powered systems,conferencePaper,s1:human:keep,,Review: superseded item has human decision tag — verify canonical is correct
25RCNRY9,Human-AI collaboration in software engineering: lessons learned from a hands-on workshop,conferencePaper,A8FUW44D,Human-AI collaboration in software engineering: lessons learned from a hands-on workshop,conferencePaper,s1:human:keep,,Review: superseded item has human decision tag — verify canonical is correct
FHUGCNKY,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research age",journalArticle,732VDKJD,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research age",journalArticle,s1:human:keep,,Review: superseded item has human decision tag — verify canonical is correct
WM5VCIAA,GeoAnalystBench: a GeoAI benchmark for assessing large language models for spatial analysis workflow and code generation,journalArticle,RR4TJJ5W,GeoAnalystBench: a GeoAI benchmark for assessing large language models for spatial analysis workflow and code generation,journalArticle,s1:human:discard,,Review: superseded item has human decision tag — verify canonical is correct
GCPU2JP5,Get on the train or be left on the station: using LLMs for software engineering research,conferencePaper,BGDGIR3Y,Get on the train or be left on the station: using LLMs for software engineering research,conferencePaper,s1:human:discard,,Review: superseded item has human decision tag — verify canonical is correct
PTEHXBBL,Open source AI-based SE tools: opportunities and challenges of collaborative software learning,journalArticle,SIBW73L2,Open source AI-based SE tools: opportunities and challenges of collaborative software learning,journalArticle,s1:human:discard,,Review: superseded item has human decision tag — verify canonical is correct
DIW28ZHE,Toward reliable scientific visualization pipeline construction with structure-aware retrieval-augmented LLMs,journalArticle,WBGJ4YA5,Toward reliable scientific visualization pipeline construction with structure-aware retrieval-augmented LLMs,journalArticle,s1:human:discard,,Review: superseded item has human decision tag — verify canonical is correct
X5YTTSB5,How knowledge workers think generative AI will (not) transform their industries,conferencePaper,VR5457IP,How Knowledge Workers Think Generative AI Will (Not) Transform Their Industries,journalArticle,s1:human:discard,,Review: superseded item has human decision tag — verify canonical is correct
