item_key,decision,confidence,rationale
RXIKLFDJ,discard,high,"Focus is on accessibility UX design principles for blind programmers, not org-level governance or oversight scaling of AI-generated code."
2TIXA9RB,discard,high,"Creative content copyright analysis with no code, software engineering, or developer-facing governance angle."
REXFW8ZU,keep,medium,"Multi-layered risk governance and dynamic trust control framework for autonomous agentic AI systems is potentially applicable to software orgs managing agentic coding tools."
7CZGPX2A,discard,high,"Copyright economics for GenAI creative works; no code or software development angle."
LJQLX7LY,discard,high,"Urban AI governance and smart city policy; no software engineering or code governance angle."
4BUBL8RT,discard,high,"Social media content moderation law; no code or software development angle."
S26DV7QF,discard,high,"AI avatars and digital personhood under GDPR; no code or software engineering angle."
KJ3IDLSJ,discard,medium,"Board-level AI governance mentions audit and risk assessment but operates at corporate strategy level, not software engineering team practice."
LF6FVB7H,discard,high,"Economic theory of cognitive labor and AI augmentation; no operationalizable mechanism for software engineering orgs."
PD2YN98L,keep,medium,"Controlled experiment quantifies automation bias when accepting AI vs. human security recommendations by expertise level — operationalizes trust calibration signal for AI-assisted security decisions."
MLPA42M7,keep,high,"Multi-stage AI vulnerability detection with XAI (LIME) explanations achieves F1=0.96 binary, 0.85 multi-class — directly operationalizes vulnerability detection with developer-facing transparency."
459P97KX,discard,medium,"Multi-stage LLM code workflow with human review is structurally interesting but domain is quantum physics (DMRG); requires substantial re-derivation for software engineering contexts."
F8EFSTBB,keep,high,"Integrative governance model for AI-supported cybersecurity decision structures covers risk scoring, alert triage, and human oversight — directly addresses AI-assisted decision governance at org level."
H2T77AQK,discard,high,"Proactive regulation theory for emerging technologies; no operationalizable mechanism for software engineering orgs."
JIG9NY55,maybe,medium,"Closed-loop generation-verification-repair mechanism for LLM code generation is a transferable verification pattern, but domain is industrial PLC programming with domain-specific formal verification constraints."
7JQM6IN7,discard,high,"Federal AI procurement governance gaps; no software engineering org or code governance angle."
VCKLHPJB,discard,high,"AI-generated artwork copyright analysis; no code or software development angle."
GAKL8VPV,discard,high,"GenAI governance framework for financial compliance (AML, audit); domain-specific to finance with no software engineering angle."
72ZFAATH,discard,high,"Philosophical AI alignment via theodicy; no operational mechanism for software engineering orgs."
VLHAGRAA,discard,medium,"Hybrid expert-LLM XAI framework applied exclusively to healthcare, finance, and autonomous driving — domain-specific without argument for software engineering transferability."
8PPIW9Q5,keep,high,"SLR of prompt engineering in SE proposes HITL modular framework with version control and automated prompt optimization — directly operationalizable for managing AI code generation at scale."
WVHZXPXX,discard,high,"HITL agentic AI for construction/AECFM data; domain is physical infrastructure management with no structural parallel to software code governance."
2NJB4P7T,discard,high,"AI image generator moral rights under US copyright; no code or software development angle."
BQF4J667,discard,high,"LLM-assisted stock investing with human oversight for portfolio returns; finance domain with no code governance angle."
MGS5DY74,discard,medium,"Adoption framework focuses on operational efficiency and workforce dynamics without a governance, risk measurement, or oversight mechanism for AI-generated outputs."
CI93QRUH,keep,high,"HiLDE HITL decoding mechanism empirically reduces security vulnerabilities in LLM code generation (within-subjects N=18) — directly operationalizable oversight intervention with measured security outcome."
SLBHD4FQ,discard,medium,"Algorithmic governance and accountability frameworks for federal administrative agencies; domain is public administration law, not software engineering org practice."
U7KVI9E2,keep,high,"Empirically quantifies Codex SStuB generation rate (2x more likely than correct code) and proposes avoidance strategies — directly operationalizable defect rate metric for AI code risk scoring."
5X5SZJ7M,discard,high,"Mathematical gauge-invariant AI alignment theory; no operational mechanism for software engineering orgs."
TUQHVDRU,discard,high,"EU digital sovereignty legislation overview; no software engineering or code governance angle."
NTGFJI6V,discard,medium,"Abstract is thin and the identity-anchored accountability concept for ISO 42001 gaps lacks a clear operationalizable mechanism for software engineering orgs."
SEVQQF2T,keep,high,"Tunable governance model explicitly addresses human-AI decision boundaries, automation bias, and accountability failures grounded in EU AI Act and NIST AI RMF — directly operationalizable decision rights framework."
CSZJAX7U,discard,high,"EU AI Act critique framed around welfare policy and democratic legitimacy; no software engineering or code governance angle."
TF2C996H,maybe,medium,"Confidence-calibrated selective review routing (auto-approve/flag/discard) is structurally parallel to code review triage at scale, but domain is image annotation and transferability requires argument not resolvable from abstract."
RZRW87WI,discard,medium,"Corporate law analysis of AI in board decision-making addresses human supervision of AI at legal level, but not operationalizable for software engineering team practice."
FWMLDQD9,discard,high,"Teleological alignment theory (purpose-driven AI safety) is descriptive alignment philosophy without operational mechanism for software engineering org governance."
YX4EPM33,maybe,medium,"Regulatory thresholds for LLMs and agentic AI using NIST AI RMF and EU AI Act are potentially applicable to software orgs, but paper appears to operate at policy governance level without engineering-org operationalization."
PBX8JLIQ,discard,high,"Automated identity governance (IAM/SailPoint/Okta) in cloud enterprises; domain is access management, not code quality or AI code oversight."
BPMFPZZB,keep,high,"PSECO-SafePatch delivers 84% remediation time reduction and 89% patch success via GenAI+HITL in CI/CD pipeline — directly operationalizable vulnerability remediation model with measured enterprise outcomes."
5BWV4GDM,discard,high,"Healthcare AI bias considerations with no abstract; no software engineering angle."
WHQ4LZQ8,maybe,medium,"Harmonization strategies for fragmented AI governance standards (auditing, certification, risk management) could provide actionable framework for software orgs navigating multi-standard compliance, but primarily operates at policy meta-level."
LNJVL85B,discard,high,"Indian labor market AI disruption and statutory voids; no software engineering governance or code oversight angle."
XXSSALRL,discard,medium,"REASON rubric for legal AI reasoning is domain-specific to the legal profession; HITL governance checks do not transfer to code review context."
UGGQB3J2,discard,high,"AI sustainability governance at national/supranational policy level; no software engineering angle."
NRNJZRMX,discard,high,"EU administrative procedure and AI Act applied to public administration law; not software engineering org context."
DVC6GTG5,discard,high,"GenAI and law workshop report focuses on copyright, privacy, and IP; no code governance or software engineering org angle."
KDXSF6GS,discard,high,"AI cognitive identity framework for diverse use contexts; no operationalizable mechanism for software engineering orgs."
JTEYUJPA,discard,high,"Copyright fair use analysis for GenAI outputs; no code or software development angle."
NKW6Z96Q,discard,high,"Tax governance algorithmic accountability; domain is tax administration with no software engineering angle."
PKN9D6XZ,keep,medium,"Proposes Dual-Use Risk Index (DURI) metric for GenAI in cybersecurity governance aligned with NIST AI RMF and EU AI Act — operationalizable risk metric with direct DevSecOps relevance."
