batch_file,stage,error,timestamp
/home/scott/slr/phase2/batches/sonnet/batch_003.csv,sonnet,row_count_mismatch_51_vs_50,Wed May 27 05:06:49 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_006.csv,sonnet,row_count_mismatch_51_vs_50,Wed May 27 05:26:03 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_021.csv,sonnet,row_count_mismatch_54_vs_50,Wed May 27 06:54:41 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_025.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 07:19:56 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_026.csv,sonnet,row_count_mismatch_53_vs_50,Wed May 27 07:25:04 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_028.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 07:49:50 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_031.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 08:09:53 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_034.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 08:27:25 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_035.csv,sonnet,row_count_mismatch_51_vs_50,Wed May 27 08:33:04 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_038.csv,sonnet,row_count_mismatch_54_vs_50,Wed May 27 08:47:52 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_039.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 08:51:53 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_040.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 08:58:42 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_042.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 09:08:26 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_047.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 09:35:41 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_048.csv,sonnet,row_count_mismatch_51_vs_50,Wed May 27 09:40:42 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_050.csv,sonnet,row_count_mismatch_54_vs_50,Wed May 27 09:52:08 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_052.csv,sonnet,row_count_mismatch_53_vs_50,Wed May 27 10:06:19 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_054.csv,sonnet,row_count_mismatch_51_vs_50,Wed May 27 10:20:25 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_060.csv,sonnet,row_count_mismatch_54_vs_50,Wed May 27 10:52:33 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_068.csv,sonnet,exit_code_1,Wed May 27 11:39:23 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_070.csv,sonnet,row_count_mismatch_53_vs_50,Wed May 27 11:53:01 AM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_073.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 12:09:24 PM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_078.csv,sonnet,row_count_mismatch_52_vs_50,Wed May 27 12:38:21 PM UTC 2026
/home/scott/slr/phase2/batches/sonnet/batch_068.csv,sonnet,row_count_mismatch_68_vs_50,Wed May 27 08:37:43 PM UTC 2026
/home/scott/slr/phase2/batches/opus/batch_007.csv,opus,row_count_mismatch_22_vs_21,Wed May 27 08:53:54 PM UTC 2026
/home/scott/slr/phase2/batches/opus/batch_009.csv,opus,row_count_mismatch_20_vs_19,Wed May 27 08:58:56 PM UTC 2026
/home/scott/slr/phase2/batches/opus/batch_014.csv,opus,row_count_mismatch_22_vs_21,Wed May 27 09:11:56 PM UTC 2026
/home/scott/slr/phase2/batches/opus/batch_015.csv,opus,row_count_mismatch_23_vs_21,Wed May 27 09:14:49 PM UTC 2026
/home/scott/slr/phase2/batches/opus/batch_022.csv,opus,row_count_mismatch_22_vs_21,Wed May 27 09:32:22 PM UTC 2026
